PROVINCE,DISTRICT,HI04,Cluster,HI05,HH_WT,C_hhweight,TYPEHH,C003,C012,C012_OTHER,C013,C013_OTHER,C018,C018_OTHER,C019,C019_OTHER,C033,C033_OTHER,C034,C034_OTHER,C037_FIRST,C037_SECOND,C037_OTHER,C042,C042_OTHER,C052,C052_OTHER,C057,C057_OTHER,C058,C058_OTHER,C060,C060_OTHER,C074,C074_OTHER,C075,C075_OTHER,C088A,C088B,C088C,C088D,C088E,C088_OTHER,C091,C091_OTHER,C092,C092_OTHER,C102_FIRST,C102_SECOND,C102_OTHER,C108A,C108B,C108C,C108D,C108_OTHER,C114,C114_OTHER,C115,C115_OTHER,C122_FIRST,C122_SECOND,C122_OTHER,C126,C126_OTHER,C164_7,C168,C168_OTHER,C170_8,C170_OTHER,C003_OTHER,C001,C002,C004,C005,C006,C007,C008,C009,C010,C011,C014,C015,C016,C017,C020,C021,C022,C023,C024,C025,C026,C027A,C027B,C027C,C027D,C027E,C027F,C027G,C027H,C027I,C027J,C027K,C027L,C027M,C028A,C029A,C030A,C031A,C032A,C032A_UNITY,C028B,C029B,C030B,C031B,C032B,C032B_UNITY,C035,C036,C038,C039,C040,C041,C043,C044,C045,C046,C047,C048,C049,C050,C051,C053,C054,C055,C056,C059,C061,C062,C063,C064,C065,C066,C067,C068A,C068B,C068C,C068D,C068E,C068F,C068G,C068H,C068I,C068J,C068K,C068L,C068M,C069C,C070C,C071C,C072C,C073C,C073C_UNITY,C069D,C070D,C071D,C072D,C073D,C073D_UNITY,C076,C077,C078_FIRST,C078_SECOND,C078_OTHER,C079,C080,C081,C082,C083,C084,C085,C086A,C086B,C086C,C086D,C086E,C086F,C086G,C086H,C086I,C086J,C086K,C086L,C086M,C087,C089,C090,C093,C094,C095,C096,C097,C098,C099,C100,C100_UNITY,C101,C103,C104,C105,C106,C107A,C107B,C107C,C107D,C107E,C107F,C107G,C107H,C107I,C107J,C107K,C107L,C107M,C107N,C109,C110,C111,C112,C113,C116,C117,C118,C119,C120,C121,C123,C124,C125,C127,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164_1,C164_2,C164_3,C164_4,C164_5,C164_6,C164_8,C164_OTHER,C165,C166,C167,C169,C170_1,C170_2,C170_3,C170_4,C170_5,C170_6,C170_7,C171,C172,C173,C174,C175,C176,C177
Kigali City,Gasabo,Urban,24,11,410.6768,425.4235689608348,Ordinary HH,,Energy company,,Monthly,,Pay based on lights and appliances used,,Credits using mobile money,,Candle,,No back-up source,,No problems,No problems,,No mini-grid / Mini grid is too far from household,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,12,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,6000,Yes,,,,,,,,,,,,,,,,,,,,Yes,24,4,None (Ntabwo),,,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,4,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,12,410.6768,425.4235689608348,Ordinary HH,,Energy company,,Bi-weekly,,Pay based on lights and appliances used,,Credits using mobile money,,Dry-cell batteries/Rechargeable torch,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,04,Yes,,,1,Household was already connected,,,,,Yes,Yes,No,,Respondent does not have an energy bill,,,,,30000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,None (Ntabwo),,,No assistance requested,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,5,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,13,410.6768,425.4235689608348,Ordinary HH,,Energy company,,Bi-weekly,,Fixed monthly fee,,Credits using mobile money,,Mobile phone light,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,18,65000,Internal wiring,150000,1,0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,12000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,1,30,Minutes,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,4,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,14,410.6768,425.4235689608348,Ordinary HH,,Pre-paid meter card seller,,Monthly,,Pay based on lights and appliances used,,Credits using mobile money,,Kerosene lamp,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,10,60000,Internal wiring,150000,3,0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,1500,No,,,,,,,,,,,,,Yes,No,23,4,2,5,Minutes,No,23,4,2,5,Minutes,0,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,3,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,15,410.6768,425.4235689608348,Ordinary HH,,Energy company,,Monthly,,Pay based on lights and appliances used,,Credits using mobile money,,Candle,,No back-up source,,No problems,No problems,,No mini-grid / Mini grid is too far from household,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,1,Household was already connected,,,,,Yes,Yes,No,,Respondent does not have an energy bill,,,,,8000,Yes,,,,,,,,,,,,,,,,,,,,Yes,24,4,None (Ntabwo),,,No one to ask for assistance in power company,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,2,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,16,410.6768,425.4235689608348,Ordinary HH,,Relative,,Every 6 months,,Fixed monthly fee,,Credits using mobile money,,Mobile phone light,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,10,56000,Internal wiring,200000,2,0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,2500,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,1,5,Minutes,2,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,2,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,18,410.6768,425.4235689608348,Ordinary HH,,Energy company,,Monthly,,Pay based on lights and appliances used,,Credits using mobile money,,Candle,,No back-up source,,Unpredictable interruptions,Maintenance/service problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,16,37000,Internal wiring,100000,7,0,Yes,Yes,No,,Respondent has energy bill and shows it,Yego,,20000,84,20000,No,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,No,23,2,2,5,Minutes,No,24,4,None (Ntabwo),,,No assistance requested,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,7,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,24,19,410.6768,425.4235689608348,Ordinary HH,,Energy company,,Bi-weekly,,Self top-up based on need or capacity to pay,,Credits using mobile money,,Mobile phone light,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,12,Household was already connected,,,,,Yes,Yes,No,,Respondent does not have an energy bill,,,,,15000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,1,5,Minutes,No one to ask for assistance in power company,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,4,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,1,325.5321,356.5501146635148,Ordinary HH,,Pre-paid meter card seller,,"Other, specify",Doesn't pay for electricity,"Other, specify",Landlord pays,"Other, specify",Landlord,No backup sources,,No back-up source,,No problems,No problems,,"Other, specify",Doesn't know,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,1,Don?t know,Both,Don?t know (Ntabizi),Don?t know (Ntabizi),Don?t know (Ntabizi),Yes,Yes,Yes,5,Respondent does not have an energy bill,,,,,1000,Yes,,,,,,,,,,,,,,,,,,,,Yes,Don't know (Ntabizi),4,None (Ntabwo),,,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,1,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,2,325.5321,356.5501146635148,Ordinary HH,,Pre-paid meter card seller,,Monthly,,Fixed monthly fee,,Cash,,Dry-cell batteries/Rechargeable torch,,"Other, specify",Phone,No problems,No problems,,"Other, specify",He/she is not the house owner,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,1,Household was already connected,,,,,Yes,Yes,Yes,6,Respondent has energy bill and shows it,Yego,,2000,18,2000,Yes,,,,,,,,,,,,,,,,,,,,Yes,24,4,Don't know (Ntabizi),Don't know (Ntabizi),,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,1,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,3,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Weekly,,Pay based on lights and appliances used,,Credits using mobile money,,Dry-cell batteries/Rechargeable torch,,No back-up source,,High cost of electricity,Unexpectedly high bills,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,6,50000,Internal wiring,25000,8,0,Yes,Yes,Yes,3,Respondent does not have an energy bill,,,,,24000,No,,,,,,,,,,,,,Yes,No,24,4,1,5,Minutes,No,24,4,1,5,Minutes,0,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,3,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,4,325.5321,356.5501146635148,Ordinary HH,,Local store,,Monthly,,Self top-up based on need or capacity to pay,,Credits using mobile money,,Candle,,No back-up source,,No problems,No problems,,Service unreliable,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,3,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,1000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,None (Ntabwo),,,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,1,No,Yes,,,No
Kigali City,Gasabo,Urban,25,5,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Pay based on lights and appliances used,,Credits using mobile money,,Mobile phone light,,No back-up source,,High cost of electricity,Unexpectedly high bills,,No mini-grid / Mini grid is too far from household,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,24,2000,Internal wiring,Don?t know (Ntabizi),1,0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,2000,No,,,Yes,Yes,,,,,,,Yes,Yes,,No,23,4,1,10,Minutes,No,23,3,1,5,Minutes,No assistance requested,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,10,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,6,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Utility estimates consumption,,Credits using mobile money,,Mobile phone light,,"Other, specify",Phone,No problems,No problems,,No mini-grid / Mini grid is too far from household,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,10,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),Don?t know (Ntabizi),Yes,Yes,Yes,2,Respondent does not have an energy bill,,,,,5000,Yes,,,,,,,,,,,,,,,,,,,,No,23,4,1,5,Minutes,No one to ask for assistance in power company,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,3,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,7,325.5321,356.5501146635148,Ordinary HH,,Landlord,,Monthly,,Pay based on lights and appliances used,,Cash,,Mobile phone light,,No back-up source,,No problems,No problems,,"Renting, Landlord decision",,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,1,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),Don?t know (Ntabizi),No,,No,,Respondent does not have an energy bill,,,,,5000,Yes,,,,,,,,,,,,,,,,,,,,Yes,24,4,Don't know (Ntabizi),Don't know (Ntabizi),,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,2,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,8,325.5321,356.5501146635148,Ordinary HH,,Pre-paid meter card seller,,Weekly,,Self top-up based on need or capacity to pay,,Cash,,No backup sources,,No back-up source,,Low/high voltage problems or voltage fluctuations,No problems,,"Other, specify",Not applicable,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,20,200000,Both,200000,Don?t know (Ntabizi),1,Yes,Yes,No,,Respondent has energy bill and shows it,Oya,3,2000,7,16000,No,,,,,,,,,,,,,Yes,Yes,24,4,None (Ntabwo),,,Yes,24,4,None (Ntabwo),,,No assistance requested,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,4,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,9,325.5321,356.5501146635148,Ordinary HH,,Local store,,Monthly,,Pay based on lights and appliances used,,Credits using mobile money,,Mobile phone light,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,3,Household was already connected,,,,,Yes,Yes,No,,Respondent does not have an energy bill,,,,,2000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,None (Ntabwo),,,0,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,2,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,10,325.5321,356.5501146635148,Ordinary HH,,Energy company,,"Other, specify",Landlord pays fot it,Pay based on lights and appliances used,,Credits using mobile money,,Candle,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,15,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),0,Yes,Yes,No,,Respondent does not have an energy bill,,,,,8000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,None (Ntabwo),,,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,0,,,,,
Kigali City,Gasabo,Urban,25,11,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Bi-weekly,,Pay based on lights and appliances used,,Cash,,Candle,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,25,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),Don?t know (Ntabizi),Yes,Yes,No,,Respondent does not have an energy bill,,,,,20000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,None (Ntabwo),,,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,7,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,12,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Weekly,,Utility estimates consumption,,Credits using mobile money,,Mobile phone light,,"Other, specify",Phone,Unpredictable interruptions,High cost of electricity,,No mini-grid / Mini grid is too far from household,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,3,2000,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),Don?t know (Ntabizi),Yes,Yes,Yes,2,Respondent does not have an energy bill,,,,,60000,Yes,,,,,,,,,,,,,,,,,,,,Yes,23,4,2,5,Minutes,No one to ask for assistance in power company,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,1,No,Yes,,,No
Kigali City,Gasabo,Urban,25,13,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Pay based on lights and appliances used,,Cash,,Candle,,No back-up source,,Unpredictable interruptions,High cost of electricity,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,14,Don?t know,Internal wiring,Don?t know (Ntabizi),Don?t know (Ntabizi),Don?t know (Ntabizi),Yes,Yes,No,,Respondent does not have an energy bill,,,,,8000,Yes,,,,,,,,,,,,,,,,,,,,No,23,4,None (Ntabwo),,,No assistance requested,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,3,Yes,Yes,,,Yes
Kigali City,Gasabo,Urban,25,14,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Self top-up based on need or capacity to pay,,Credits using mobile money,,Mobile phone light,,No back-up source,,Low/high voltage problems or voltage fluctuations,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,02,Yes,,,18,Household was already connected,,,,,Yes,Yes,Yes,2,Respondent does not have an energy bill,,,,,13000,No,,,,Yes,,,,,Yes,,Yes,,,No,20,3,Don't know (Ntabizi),Don't know (Ntabizi),,No,24,4,2,5,Minutes,No assistance requested,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,3,Yes,Yes,,,No
Kigali City,Gasabo,Urban,25,15,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Fixed monthly fee,,Credits using mobile money,,Mobile phone light,,"Other, specify",Phone,High cost of electricity,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,10,Household was already connected,,,,,Yes,Yes,No,,Respondent does not have an energy bill,,,,,5000,Yes,,,,,,,,,,,,,,,,,,,,Yes,24,4,1,5,Minutes,0,Yes,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,3,Yes,Yes,,,No
Kigali City,Gasabo,Urban,25,16,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Weekly,,Pay based on lights and appliances used,,Credits using mobile money,,Candle,,"Other, specify",Candle,High cost of electricity,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,13,Household was already connected,,,,,Yes,Yes,Yes,2,Respondent does not have an energy bill,,,,,5000,Yes,,,,,,,,,,,,,,,,,,,,No,24,4,1,5,Minutes,0,No,Yes,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,2,Yes,Yes,,,No
Kigali City,Gasabo,Urban,25,17,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Self top-up based on need or capacity to pay,,Credits using mobile money,,No backup sources,,No back-up source,,Low/high voltage problems or voltage fluctuations,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,1,Household was already connected,,,,,Yes,Yes,Yes,2,Respondent does not have an energy bill,,,,,10000,No,,,,Yes,,,,,Yes,Yes,Yes,,,No,20,2,3,Don't know (Ntabizi),,No,24,4,Don't know (Ntabizi),Don't know (Ntabizi),,No assistance requested,Yes,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,1,No,Yes,,,No
Kigali City,Gasabo,Urban,25,18,325.5321,356.5501146635148,Ordinary HH,,Energy company,,Monthly,,Self top-up based on need or capacity to pay,,Credits using mobile money,,Mobile phone light,,No back-up source,,No problems,No problems,,Satisfied with current energy solution,,, ,, ,, ,, ,, ,, ,,,,,, ,, ,, ,,, ,,,,, ,, ,, ,,, ,,,,, ,,,,01,Yes,,,10,36000,Internal wiring,30000,30,2,Yes,Yes,No,,Respondent does not have an energy bill,,,,,4500,No,,,,Yes,,,,,Yes,,Yes,,,No,16,2,3,25,Minutes,No,24,4,1,10,Minutes,No assistance requested,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National grid,1,No,Yes,,,No
